Date,Cases,Mean Temp (°C),Humidity,DoW
2013-06-01, 7,22.5,79,0
2013-06-02, 7,20.0,88,1
2013-06-03, 9,12.5,67,2
2013-06-04, 2,13.0,38,3
2013-06-05, 4,11.3,53,4
2013-06-06, 5,10.8,76,5
2013-06-07, 1,12.5,98,6
2013-06-08, 4,12.8,90,0
2013-06-09, 4,16.5,80	,1
2013-06-10, 7,16.0,72	,2
2013-06-11, 4,15.3,91,3
2013-06-12, 7,16.0,74,4
2013-06-13, 8,13.8,84,5
2013-06-14, 4,16.3,53,6
2013-06-15, 3,15.0,74	,0
2013-06-16, 4,14.3,98	,1
2013-06-17, 9,16.5,94	,2
2013-06-18, 4,15.3,48,3
2013-06-19, 2,12.3,42,4
2013-06-20, 3,14.8,67,5
2013-06-21, 6,17.8,78	,6
2013-06-22, 7,18.8,83,0
2013-06-23, 6,22.0,86,1
2013-06-24, 3,23.8,79,2
2013-06-25, 2,21.4,90,3
2013-06-26, 3,21.0,87,4
2013-06-27, 1,20.8,86,5
2013-06-28, 8,15.5,94,6
2013-06-29, 11,17.5,80,0
2013-06-30, 7,18.8,67,1
2013-07-01, 4,17.8,68,2
2013-07-02, 0,17.3,86,3
2013-07-03, 4,21.3,84,4
2013-07-04, 2,22.8,88,5
2013-07-05, 2,22.5,85	,6
2013-07-06, 1,23.8,93	,0
2013-07-07, 0,22.5,92,1
2013-07-08, 8,22.3,78	,2
2013-07-09, 2,22.0,89,3
2013-07-10, 7,23.8,92,4
2013-07-11, 3,19.3,79,5
2013-07-12, 1,18.0,57,6
2013-07-13, 4,20.8,59,0
2013-07-14, 5,22.3,84,1
2013-07-15, 5,24.0,53,2
2013-07-16, 5,25.0,60	,3
2013-07-17, 3,25.0,82,4
2013-07-18, 3,26.0,63,5
2013-07-19, 2,26.0,67	,6
2013-07-20, 4,23.0,56,0
2013-07-21, 4,18.0,50,1
2013-07-22, 3,18.3,47,2
2013-07-23, 1,22.8,82,3
2013-07-24, 4,16.8,57,4
2013-07-25, 3,16.3,49,5
2013-07-26, 5,17.0,45,6
2013-07-27, 0,18.3,64,0
2013-07-28, 5,21.0,88,1
2013-07-29, 1,18.0,60,2
2013-07-30, 7,18.8,65,3
2013-07-31, 2,19.5,69,4
2013-08-01, 1,19.2,94,5
2013-08-02, 4,18.8,70,6
2013-08-03, 3,18.0,63,0
2013-08-04, 1,17.5,53,1
2013-08-05, 2,16.0,47,2
2013-08-06, 1,18.3,67,3
2013-08-07, 2,19.5,77,4
2013-08-08, 3,21.8,90,5
2013-08-09, 5,21.8,83,6
2013-08-10, 0,18.0,44,0
2013-08-11, 4,17.5,60,1
2013-08-12, 3,18.5,61,2
